no,page,title,subtitle,author,price,pages,pub_date,bookcode,url,cover
1,1,요즘 개발자를 위한 AWS 비용 최적화,기초 개념부터 서버·EKS·스토리지·네트워크 최적화·AI 기반 비용 관리까지,"박정빈,안다영,안진모,이준용,임정환","30,000",300,2026.09.29,BN004925,https://www.gilbut.co.kr/book/view?bookcode=BN004925,https://gimg.gilbut.co.kr/book/BN004925/rn_view_BN004925.jpg
2,1,교과서가 쉬워지는 주말여행(전면개정판),,"김수진,박은하","25,000",464,2026.09.23,BN004929,https://www.gilbut.co.kr/book/view?bookcode=BN004929,https://gimg.gilbut.co.kr/book/BN004929/rn_view_BN004929.jpg
3,1,허깅페이스 인 액션,,"웨이멍 리,박지은","33,000",428,2026.09.23,BN004928,https://www.gilbut.co.kr/book/view?bookcode=BN004928,https://gimg.gilbut.co.kr/book/BN004928/rn_view_BN004928.jpg
4,1,AI 편집 디자인,AI×인디자인×일러스트레이터×포토샵으로 배우는 디자인 실무 편집 디자인 · 브로슈어 · 포스터 · 패키지 · 출판 편집 · 포트폴리오까지,"이미정,유은진,강경희,신호진,앤미디어","28,000",456,2026.09.21,BN004924,https://www.gilbut.co.kr/book/view?bookcode=BN004924,https://gimg.gilbut.co.kr/book/BN004924/rn_view_BN004924.jpg
5,1,"아 맞다, 나 뭐 하려고 했더라?",산만한 뇌를 바꾸는 정신과 의사의 집중력 처방,노현재,"17,000",184,2026.09.17,BN004921,https://www.gilbut.co.kr/book/view?bookcode=BN004921,https://gimg.gilbut.co.kr/book/BN004921/rn_view_BN004921.jpg
6,1,"AI, 변하는 것 변하지 않는 것 결국 남는 것",,서지영,"22,000",320,2026.09.16,BN004926,https://www.gilbut.co.kr/book/view?bookcode=BN004926,https://gimg.gilbut.co.kr/book/BN004926/rn_view_BN004926.jpg
7,1,나는 AI로 주식투자한다,"질문이 바뀌면 답변이 달라진다. 종목 발굴부터 분석, 검증, 미래 전망까지 AI로 투자하는 법",신주일(퇴사한아빠),"24,000",396,2026.09.10,BN004922,https://www.gilbut.co.kr/book/view?bookcode=BN004922,https://gimg.gilbut.co.kr/book/BN004922/rn_view_BN004922.jpg
8,1,김진순의 인생 레시피 1,,김진순,"24,000",236,2026.09.09,BN004920,https://www.gilbut.co.kr/book/view?bookcode=BN004920,https://gimg.gilbut.co.kr/book/BN004920/rn_view_BN004920.jpg
9,1,AI 팀원을 고용한 회사는 다르게 일한다,"부서별, 업무별 챗GPT 실전 도입 가이드, 영업, 마케팅, 인사, 경영기획, 백오피스 업무, 경영자 [모두의 AI]","이케다 도모히로,박광수","24,000",328,2026.08.31,BN004916,https://www.gilbut.co.kr/book/view?bookcode=BN004916,https://gimg.gilbut.co.kr/book/BN004916/rn_view_BN004916.jpg
10,1,스피킹 매트릭스 3분 영어 말하기,,김영욱(달변가 영쌤),"20,000",340,2026.08.31,BN004910,https://www.gilbut.co.kr/book/view?bookcode=BN004910,https://gimg.gilbut.co.kr/book/BN004910/rn_view_BN004910.jpg
11,1,스피킹 매트릭스 2분 영어 말하기,,김영욱(달변가 영쌤),"20,000",323,2026.08.31,BN004909,https://www.gilbut.co.kr/book/view?bookcode=BN004909,https://gimg.gilbut.co.kr/book/BN004909/rn_view_BN004909.jpg
